code,type,shape_uk,stone_key,tier,file,prompt
136,single,"Одинарний, з трояндою",marble,skladna,136-single-marble.png,"single stele with a carved rose in the corner, hand-carved relief elements, combination of polished and matte surfaces. Stone: white Carrara-type marble with soft grey veins. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: laser-engraved portrait area left blank (subtle lighter oval). Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words. Previous render had garbled Cyrillic."
139,double,"Подвійний, дві стели",Покостівський,bazova,139-double-Покостівський.png,"two separate steles on a shared pedestal with a common flower bed, simple profiled edge, small engraved cross. Stone: light grey fine-grained Pokostivka granite, polished. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic oval with a Madonna icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
140,double,"Подвійний, широка з аркою",Танський,standartna,140-double-Танський.png,"wide double stele with a central arch and two portraits, figured top, engraved ornament along one edge. Stone: light grey Tanske granite with small dark specks. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: laser-engraved portrait area left blank (subtle lighter oval). Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
141,double,"Подвійний, з різьбленим деревом",Софіївський,skladna,141-double-Софіївський.png,"wide double stele with a carved tree of life between two portraits, hand-carved relief elements, combination of polished and matte surfaces. Stone: warm grey-beige Sofiivka granite, polished. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic rectangle with a Christ icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words. Previous render had garbled Cyrillic."
142,double,"Подвійний, хвиля",Корнинський,elitna,142-double-Корнинський.png,"wide double stele with a wave-shaped top, sculptural carving, gilded details, two-stone combination, premium finish. Stone: grey-pink coarse 'Leopard' Kornyn granite. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: no portrait, engraved orthodox cross instead. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words. Previous render had garbled Cyrillic."
144,double,"Подвійний, з хрестом посередині",Лезниківський,bazova,144-double-Лезниківський.png,"wide double stele with a raised cross in the middle, simple profiled edge, small engraved cross. Stone: brick-red coarse-grained Leznyky granite, polished. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: laser-engraved portrait area left blank (subtle lighter oval). Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
145,double,"Подвійний, скошений верх",Межиріцький,standartna,145-double-Межиріцький.png,"wide double stele with a stepped asymmetric top, figured top, engraved ornament along one edge. Stone: red Mezhyrichka granite with large grey 'flower' inclusions. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic rectangle with a Christ icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
146,double,"Подвійний, з вазою",Токівський,skladna,146-double-Токівський.png,"wide double stele with a central granite vase, hand-carved relief elements, combination of polished and matte surfaces. Stone: red-brown Tokivske granite with dark specks. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: no portrait, engraved orthodox cross instead. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
147,cross,Хрест православний,Дідковицький,elitna,147-cross-Дідковицький.png,"tall orthodox eight-pointed cross carved from a single slab on a pedestal, sculptural carving, gilded details, two-stone combination, premium finish. Stone: dark green Didkovychi granite with grey undertone. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic oval with a Madonna icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
149,cross,Хрест із розп'яттям,Берестовецький,bazova,149-cross-Берестовецький.png,"catholic cross with a carved crucifix relief, simple profiled edge, small engraved cross. Stone: dark grey, almost black Berestovets basalt, satin polish. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic rectangle with a Christ icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
153,cross,Хрест із трояндою,Покостівський,prosta,153-cross-Покостівський.png,"cross with a carved rose at the base, plain rectangular edges, name and dates only. Stone: light grey fine-grained Pokostivka granite, polished. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic rectangle with a Christ icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
154,cross,Хрест на високій тумбі,Танський,bazova,154-cross-Танський.png,"cross on a tall pedestal with engraved icon, simple profiled edge, small engraved cross. Stone: light grey Tanske granite with small dark specks. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: no portrait, engraved orthodox cross instead. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
155,cross,Хрест з ажурними кінцями,Софіївський,standartna,155-cross-Софіївський.png,"cross with trefoil ends on a low pedestal, figured top, engraved ornament along one edge. Stone: warm grey-beige Sofiivka granite, polished. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic oval with a Madonna icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
156,cross,Хрест на плиті,Корнинський,skladna,156-cross-Корнинський.png,"cross lying on a full-length slab, hand-carved relief elements, combination of polished and matte surfaces. Stone: grey-pink coarse 'Leopard' Kornyn granite. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: laser-engraved portrait area left blank (subtle lighter oval). Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
157,child,"Дитячий, ангелятко",Капустинський,elitna,157-child-Капустинський.png,"small child's stele with a carved sleeping angel, sculptural carving, gilded details, two-stone combination, premium finish. Stone: pinkish-red Kapustyne granite, medium grain. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic rectangle with a Christ icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
158,child,"Дитячий, ведмедик",Лезниківський,prosta,158-child-Лезниківський.png,"small child's stele with a carved teddy bear, plain rectangular edges, name and dates only. Stone: brick-red coarse-grained Leznyky granite, polished. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: no portrait, engraved orthodox cross instead. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
159,child,"Дитячий, серце з крилами",Межиріцький,bazova,159-child-Межиріцький.png,"small heart-shaped stele with carved wings, simple profiled edge, small engraved cross. Stone: red Mezhyrichka granite with large grey 'flower' inclusions. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic oval with a Madonna icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
160,child,"Дитячий, хмаринка",Токівський,standartna,160-child-Токівський.png,"small stele shaped like a cloud with a star, figured top, engraved ornament along one edge. Stone: red-brown Tokivske granite with dark specks. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: laser-engraved portrait area left blank (subtle lighter oval). Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
163,child,"Дитячий, книга",marble,prosta,163-child-marble.png,"small open-book stele with a carved toy, plain rectangular edges, name and dates only. Stone: white Carrara-type marble with soft grey veins. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic oval with a Madonna icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
164,child,"Дитячий, з ліхтариком",marble,bazova,164-child-marble.png,"small rounded stele with a granite lantern, simple profiled edge, small engraved cross. Stone: white Carrara-type marble with soft grey veins. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: laser-engraved portrait area left blank (subtle lighter oval). Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
165,military,"Військовий, тризуб і прапор",gabbro,standartna,165-military-gabbro.png,"tall stele with an engraved trident, small Ukrainian flag beside, figured top, engraved ornament along one edge. Stone: deep black polished gabbro, mirror-like, no inclusions. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic rectangle with a Christ icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words. Previous render mixed Latin and Cyrillic."
167,military,"Військовий, шеврон",Покостівський,elitna,167-military-Покостівський.png,"stele with engraved unit chevron and portrait in uniform placeholder, sculptural carving, gilded details, two-stone combination, premium finish. Stone: light grey fine-grained Pokostivka granite, polished. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic oval with a Madonna icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
168,military,"Військовий, обеліск",Танський,prosta,168-military-Танський.png,"tall obelisk with engraved trident and gold inscription, plain rectangular edges, name and dates only. Stone: light grey Tanske granite with small dark specks. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: laser-engraved portrait area left blank (subtle lighter oval). Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
169,military,"Військовий, фігура воїна",Софіївський,bazova,169-military-Софіївський.png,"stele with a carved standing soldier silhouette, simple profiled edge, small engraved cross. Stone: warm grey-beige Sofiivka granite, polished. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic rectangle with a Christ icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark. All inscriptions strictly in Ukrainian Cyrillic, exactly «Прізвище Ім'я По-батькові» and «00.00.0000 — 00.00.0000»; no Latin transliteration, no other words."
